A001_01;A002;A003;A004;A004_01;A004_02;A004_03;A004_04;A004_05;A004_06;A005;A006;A101_01;A101_02;A101_03;A101_04;A102_01;A102_02;A102_03;A102_04;A102_05;A103_01;A103_02;A103_03;A103_04;A103_05;A104_01;A104_02;A104_03;A201_01;A201_02;A201_03;A201_04;A201_05;A202_01;A202_02;A202_03;A202_04;A202_05;A204_01;A204_02;A204_03;A204_04;A204_05;A205_01;A205_02;A205_03;A205_04;A205_05;A206_CP;A206;A207_CP;A207;A208_CP;A208
31;2;6;1;1;2;1;1;1;1;1;1;3;4;4;4;6;3;3;4;4;2;2;2;2;2;2;2;2;4;4;4;4;4;5;4;5;4;4;4;4;4;3;4;4;4;4;4;5;60;1;45;4;40;2
25;1;6;1;1;2;1;1;1;1;1;1;5;6;4;5;6;2;4;3;3;5;4;2;2;4;3;4;4;6;4;6;3;4;3;4;3;1;1;3;3;3;3;3;4;4;4;4;3;61;2;45;3;40;1
37;1;6;1;1;2;1;1;1;1;1;1;3;2;3;3;4;4;4;4;4;4;4;4;4;4;4;4;4;5;5;5;5;5;4;4;4;4;4;4;4;4;4;4;5;4;5;5;5;61;1;46;3;41;2
26;1;6;3;2;2;2;1;1;1;1;1;5;7;5;6;5;4;4;5;6;5;6;7;6;5;5;5;5;6;5;5;4;4;5;6;6;7;7;5;3;6;5;6;5;6;7;5;7;62;1;46;4;41;1
27;2;6;1;2;1;1;1;1;1;4;1;1;3;2;2;1;1;1;3;3;2;3;3;2;4;2;1;2;4;1;4;1;2;4;6;5;5;6;4;4;5;6;6;4;5;6;4;6;62;2;47;4;42;2
18;1;4;3;2;2;1;1;2;1;1;1;2;1;1;2;4;1;7;2;1;4;4;4;2;4;4;1;1;4;4;7;4;4;4;4;4;4;4;2;4;4;4;4;4;4;4;4;4;63;1;49;3;42;1
18;1;4;3;2;2;1;1;1;2;1;1;4;5;5;5;4;3;4;5;5;5;3;5;4;3;3;4;3;5;5;5;3;4;6;3;4;4;4;5;5;5;4;5;4;5;5;4;6;64;1;52;3;44;1
18;1;4;3;2;2;1;1;1;2;1;1;3;2;3;2;2;3;3;3;3;2;4;4;4;3;4;3;4;6;6;6;1;2;4;3;5;4;4;3;4;5;4;3;5;5;6;4;6;67;1;48;4;44;2
19;1;4;3;2;2;1;1;2;1;1;1;1;5;1;1;1;3;3;4;3;2;2;2;2;2;2;2;2;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;68;2;48;3;45;2
22;1;4;3;2;2;1;1;2;1;1;1;3;5;3;5;4;1;2;5;7;2;3;5;4;5;3;2;2;3;5;2;5;1;4;6;5;2;3;4;3;5;6;5;4;3;3;2;5;66;1;47;3;43;2
21;1;4;2;2;2;1;1;1;1;2;1;3;7;2;2;3;5;2;4;3;3;4;5;3;3;5;3;5;5;5;6;5;3;4;6;5;5;6;5;4;5;5;6;6;6;6;6;6;69;2;50;4;48;2
18;2;4;3;2;2;1;1;2;1;1;1;4;2;2;3;7;3;3;2;6;2;4;3;3;3;1;1;2;4;3;4;3;2;4;5;3;5;4;3;3;3;4;4;1;3;3;4;7;67;2;49;4;46;2
22;2;4;2;2;2;1;1;1;1;1;1;3;7;4;4;3;5;5;6;6;2;2;7;1;2;1;1;1;5;5;5;5;4;4;2;3;3;3;3;5;5;3;4;3;4;4;5;4;66;2;53;3;46;1
20;1;4;4;2;2;1;2;2;1;1;1;4;5;5;4;4;2;2;5;2;5;5;4;4;6;4;3;4;7;6;7;4;4;6;6;7;6;7;6;7;7;7;6;7;7;7;7;7;65;1;51;4;45;1
18;2;4;1;1;2;1;1;1;1;1;1;2;6;5;5;7;5;4;5;5;5;6;6;5;6;6;6;6;4;4;5;4;3;4;7;7;7;7;5;6;6;5;6;4;6;5;6;5;68;1;50;3;47;2
19;1;4;3;2;2;1;1;2;1;1;1;3;5;2;1;5;1;1;6;5;2;5;4;3;2;1;1;1;1;1;1;1;1;5;5;4;5;5;4;4;4;4;2;1;1;2;1;6;64;2;51;3;43;1
22;2;4;1;1;2;1;1;1;1;1;1;3;5;3;3;4;1;1;3;1;6;5;4;4;4;5;5;5;5;6;5;4;4;5;4;4;5;5;5;5;5;5;5;5;5;5;5;5;65;2;52;4;47;1
23;2;4;3;2;2;1;1;2;1;2;1;4;7;1;3;7;4;3;4;3;2;3;3;3;3;3;4;5;6;6;5;5;6;4;4;5;5;4;3;5;5;3;3;4;5;3;5;5;69;1;53;4;48;1
27;1;6;2;2;2;1;1;1;1;2;1;5;5;5;4;4;4;5;6;7;5;4;5;7;5;3;2;3;5;4;5;4;4;4;5;6;5;5;4;3;6;5;5;5;4;7;4;6;70;1;54;4;49;1
29;1;6;3;2;2;2;1;1;1;2;1;7;6;6;6;7;6;6;6;6;2;2;2;2;2;2;2;1;5;5;5;5;6;2;2;3;2;2;2;4;2;3;4;4;4;4;4;5;71;2;55;4;50;2
32;2;6;4;2;2;2;1;1;2;1;1;2;3;2;2;4;2;2;4;5;2;2;2;2;2;2;2;2;5;6;4;5;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;71;1;55;3;51;2
26;2;6;3;2;2;1;2;1;1;1;1;3;3;2;2;3;1;1;5;2;1;1;1;1;2;1;1;1;4;3;4;4;2;5;4;4;3;3;2;3;5;3;2;3;4;4;3;4;72;2;56;3;52;1
25;1;6;1;1;2;1;1;1;1;1;1;4;6;4;4;4;2;2;4;5;1;1;1;1;3;1;1;1;4;3;4;3;3;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;73;2;56;4;52;2
28;1;6;1;2;1;1;1;1;1;2;1;4;5;4;4;4;2;2;3;2;2;2;2;3;3;2;2;3;5;5;5;5;4;4;4;4;4;4;5;5;5;5;5;5;4;5;5;5;73;1;57;4;53;2
27;2;6;1;1;2;1;1;1;1;1;1;4;6;5;5;6;4;3;5;5;4;4;4;4;4;4;4;4;5;5;5;4;4;4;4;4;4;4;4;4;4;4;4;2;4;4;4;4;74;1;60;4;54;1
29;2;6;3;2;2;2;1;1;1;1;1;1;2;1;2;4;1;1;1;3;1;1;1;1;1;3;1;1;3;3;4;2;4;5;3;3;3;4;4;4;4;4;4;3;3;3;3;3;75;2;58;3;54;2
29;1;6;3;1;2;2;1;1;2;2;1;1;4;3;3;6;2;2;2;4;1;1;1;2;2;1;1;1;4;3;4;4;3;3;3;5;2;2;2;3;1;4;3;2;4;4;4;4;75;1;58;4;55;2
27;1;6;2;1;2;2;1;1;1;3;1;4;5;5;5;5;4;3;6;5;3;5;3;4;4;3;3;3;6;5;6;3;6;4;5;4;5;5;4;4;4;4;3;5;6;5;4;6;76;1;59;4;55;1
28;2;6;2;2;1;1;1;1;2;2;1;2;6;5;4;4;2;2;3;2;2;2;2;1;3;1;1;1;6;5;2;3;4;5;1;4;1;2;1;3;3;3;5;1;3;4;4;4;76;2;59;3;56;1
26;1;6;1;1;2;1;1;1;1;2;1;3;5;5;4;3;4;4;4;3;3;3;3;3;3;3;3;2;5;5;5;3;4;5;5;5;5;5;3;4;4;4;4;5;4;5;3;6;77;1;60;3;56;2
24;1;6;2;1;2;2;1;1;1;2;1;5;5;5;6;4;2;2;5;4;3;5;5;3;4;2;1;2;5;4;5;4;5;4;4;4;4;4;5;6;5;5;6;4;5;5;4;6;78;2;61;3;57;2
31;1;6;2;1;2;1;1;2;1;1;1;1;3;5;3;4;3;1;5;5;1;1;1;1;1;1;1;1;4;3;4;4;3;6;6;4;6;3;1;2;2;2;1;3;4;3;4;3;77;2;61;4;57;1
27;1;6;1;1;2;1;1;1;1;1;1;2;3;2;4;3;3;5;5;6;4;4;6;5;4;1;1;2;6;6;6;2;6;7;6;7;7;7;6;6;6;4;4;6;6;7;6;7;78;1;62;3;58;1
